Date,hospitalized
0,213.03846153846155
1,213.03846153846155
2,213.03846153846155
3,213.03846153846155
4,213.03846153846155
5,213.03846153846155
6,213.03846153846155
7,213.03846153846155
8,213.03846153846155
9,213.03846153846155
10,213.03846153846155
11,213.03846153846155
12,213.03846153846155
13,213.03846153846155
14,213.03846153846155
15,213.03846153846155
16,213.03846153846155
17,213.03846153846155
18,213.03846153846155
19,213.03846153846155
20,213.03846153846155
21,213.03846153846155
22,213.03846153846155
23,213.03846153846155
24,220.98076923076923
25,220.98076923076923
26,220.98076923076923
27,220.98076923076923
28,220.98076923076923
29,220.98076923076923
30,220.98076923076923
31,220.98076923076923
32,220.98076923076923
33,220.98076923076923
34,220.98076923076923
35,220.98076923076923
36,220.98076923076923
37,220.98076923076923
38,220.98076923076923
39,220.98076923076923
40,220.98076923076923
41,220.98076923076923
42,220.98076923076923
43,220.98076923076923
44,220.98076923076923
45,220.98076923076923
46,220.98076923076923
47,220.98076923076923
48,202.26923076923077
49,202.26923076923077
50,202.26923076923077
51,202.26923076923077
52,202.26923076923077
53,202.26923076923077
54,202.26923076923077
55,202.26923076923077
56,202.26923076923077
57,202.26923076923077
58,202.26923076923077
59,202.26923076923077
60,202.26923076923077
61,202.26923076923077
62,202.26923076923077
63,202.26923076923077
64,202.26923076923077
65,202.26923076923077
66,202.26923076923077
67,202.26923076923077
68,202.26923076923077
69,202.26923076923077
70,202.26923076923077
71,202.26923076923077
72,198.51923076923077
73,198.51923076923077
74,198.51923076923077
75,198.51923076923077
76,198.51923076923077
77,198.51923076923077
78,198.51923076923077
79,198.51923076923077
80,198.51923076923077
81,198.51923076923077
82,198.51923076923077
83,198.51923076923077
84,198.51923076923077
85,198.51923076923077
86,198.51923076923077
87,198.51923076923077
88,198.51923076923077
89,198.51923076923077
90,198.51923076923077
91,198.51923076923077
92,198.51923076923077
93,198.51923076923077
94,198.51923076923077
95,198.51923076923077
96,217.35849056603774
97,217.35849056603774
98,217.35849056603774
99,217.35849056603774
100,217.35849056603774
101,217.35849056603774
102,217.35849056603774
103,217.35849056603774
104,217.35849056603774
105,217.35849056603774
106,217.35849056603774
107,217.35849056603774
108,217.35849056603774
109,217.35849056603774
110,217.35849056603774
111,217.35849056603774
112,217.35849056603774
113,217.35849056603774
114,217.35849056603774
115,217.35849056603774
116,217.35849056603774
117,217.35849056603774
118,217.35849056603774
119,217.35849056603774
120,223.44230769230768
121,223.44230769230768
122,223.44230769230768
123,223.44230769230768
124,223.44230769230768
125,223.44230769230768
126,223.44230769230768
127,223.44230769230768
128,223.44230769230768
129,223.44230769230768
130,223.44230769230768
131,223.44230769230768
132,223.44230769230768
133,223.44230769230768
134,223.44230769230768
135,223.44230769230768
136,223.44230769230768
137,223.44230769230768
138,223.44230769230768
139,223.44230769230768
140,223.44230769230768
141,223.44230769230768
142,223.44230769230768
143,223.44230769230768
144,218.65384615384616
145,218.65384615384616
146,218.65384615384616
147,218.65384615384616
148,218.65384615384616
149,218.65384615384616
150,218.65384615384616
151,218.65384615384616
152,218.65384615384616
153,218.65384615384616
154,218.65384615384616
155,218.65384615384616
156,218.65384615384616
157,218.65384615384616
158,218.65384615384616
159,218.65384615384616
160,218.65384615384616
161,218.65384615384616
162,218.65384615384616
163,218.65384615384616
164,218.65384615384616
165,218.65384615384616
166,218.65384615384616
167,218.65384615384616
