Date,patients_total
0,128.05753424657533
1,128.05753424657533
2,128.05753424657533
3,128.05753424657533
4,128.05753424657533
5,128.05753424657533
6,128.05753424657533
7,128.05753424657533
8,128.05753424657533
9,128.05753424657533
10,128.05753424657533
11,128.05753424657533
12,128.05753424657533
13,128.05753424657533
14,128.05753424657533
15,128.05753424657533
16,128.05753424657533
17,128.05753424657533
18,128.05753424657533
19,128.05753424657533
20,128.05753424657533
21,128.05753424657533
22,128.05753424657533
23,128.05753424657533
